nume,judet,abreviere,populatie,lat,lng,,
Floresti(Campeni),Alba,AB,36,46.3949733,23.0032181,Floresti(Campeni),Floresti(Campeni)
Furduiesti(Campeni),Alba,AB,13,46.3369929,23.073767,Furduiesti(Campeni),Furduiesti(Campeni)
Mihoesti,Alba,AB,194,46.3701886,23.0261399,Mihoesti,Mihoesti
Motorasti,Alba,AB,,46.3825415,23.0439116,Motorasti,Motorasti
Pestevaleabistrii,Alba,AB,31,46.435979,23.043209,Pestevaleabistrii,PesteValeaBistrii
Poduri,Alba,AB,106,46.353606,23.051816,Poduri,Poduri
Sorlita,Alba,AB,18,46.3797852,23.0069873,Sorlita,Sorlita
Tomusesti,Alba,AB,44,46.4263286,23.0105255,Tomusesti,Tomusesti
Valeabistrii,Alba,AB,356,46.3778458,23.0674905,Valeabistrii,ValeaBistrii
Valeacaselor,Alba,AB,94,46.4021936,23.0243549,Valeacaselor,ValeaCaselor
Varsi,Alba,AB,156,46.3544064,23.0736277,Varsi,Varsi
Cugir,Alba,AB,18869,45.8370606,23.3675078,Cugir,Cugir
Bocsitura,Alba,AB,24,45.7684525,23.4141457,Bocsitura,Bocsitura
Bucuru,Alba,AB,77,45.7865146,23.3986192,Bucuru,Bucuru
Calene,Alba,AB,88,45.8320082,23.4068212,Calene,Calene
Feteni,Alba,AB,72,45.8105118,23.3527195,Feteni,Feteni
Goasele,Alba,AB,31,45.7763757,23.4598763,Goasele,Goasele
Mugesti,Alba,AB,118,45.8142892,23.4409269,Mugesti,Mugesti
Vinerea,Alba,AB,2097,45.8848673,23.3550481,Vinerea,Vinerea
Ocnamures,Alba,AB,6863,46.3820809,23.8520705,Ocnamures,OcnaMures
Cisteiudemures,Alba,AB,590,46.3772781,23.8105237,Cisteiudemures,CisteiudeMures
Micoslaca,Alba,AB,291,46.3688216,23.7912852,Micoslaca,Micoslaca
Razboienicetate,Alba,AB,1286,46.412935,23.8705557,Razboienicetate,RazboieniCetate
Uioaradejos,Alba,AB,960,46.368984,23.8394977,Uioaradejos,UioaradeJos
Uioaradesus,Alba,AB,3046,46.389827,23.8687533,Uioaradesus,UioaradeSus
Sebes,Alba,AB,20345,45.9595588,23.5663758,Sebes,Sebes
Lancram,Alba,AB,1521,45.9884714,23.5548748,Lancram,Lancram
Rahau,Alba,AB,977,45.9059622,23.6219492,Rahau,Rahau
Petresti,Alba,AB,4176,45.9201153,23.5628575,Petresti,Petresti
Teius,Alba,AB,5920,46.2024166,23.678038,Teius,Teius
Beldiu,Alba,AB,230,46.2377486,23.7159071,Beldiu,Beldiu
Capud,Alba,AB,305,46.2061825,23.727166,Capud,Capud
Coslariunou,Alba,AB,91,46.1740891,23.678984,Coslariunou,CoslariuNou
Petelca,Alba,AB,149,46.2221083,23.7323999,Petelca,Petelca
Zlatna,Alba,AB,3724,46.1075128,23.2311962,Zlatna,Zlatna
Botesti(Zlatna),Alba,AB,22,46.1748509,23.1534683,Botesti(Zlatna),Botesti(Zlatna)
Budeni,Alba,AB,61,46.1899762,23.1254233,Budeni,Budeni
Dealuroatei,Alba,AB,4,46.1263513,23.1490626,Dealuroatei,DealuRoatei
Dobrot,Alba,AB,11,46.1684216,23.1378432,Dobrot,Dobrot
Dumbrava(Zlatna),Alba,AB,402,46.1390689,23.1970603,Dumbrava(Zlatna),Dumbrava(Zlatna)
Fenes,Alba,AB,910,46.1069373,23.2866461,Fenes,Fenes
Galati,Alba,AB,354,46.0906884,23.2919452,Galati,Galati
Izvoruampoiului,Alba,AB,304,46.1568574,23.1713284,Izvoruampoiului,IzvoruAmpoiului
Patrangeni,Alba,AB,315,46.0892134,23.2636698,Patrangeni,Patrangeni
Paraugruiului,Alba,AB,253,46.1519483,23.1854431,Paraugruiului,ParauGruiului
Pirita,Alba,AB,155,46.1369962,23.158174,Pirita,Pirita
Poduluipaul,Alba,AB,110,46.1015482,23.2487275,Poduluipaul,PoduluiPaul
Runc(Zlatna),Alba,AB,40,46.1842416,23.2112158,Runc(Zlatna),Runc(Zlatna)
Rusi,Alba,AB,44,46.2082924,23.0986441,Rusi,Rusi
Suseni,Alba,AB,137,46.0939563,23.251841,Suseni,Suseni
Trampoiele,Alba,AB,392,46.151104,23.1451955,Trampoiele,Trampoiele
Valeamica,Alba,AB,391,46.0782881,23.2764425,Valeamica,ValeaMica
Valtori(Zlatna),Alba,AB,57,46.1431894,23.2145809,Valtori(Zlatna),Valtori(Zlatna)
Albac,Alba,AB,517,46.4488841,22.9653161,Albac,Albac
Barasti,Alba,AB,169,46.458313,22.9970461,Barasti,Barasti
Budaiesti,Alba,AB,122,46.4745605,22.9696801,Budaiesti,Budaiesti
Cionesti,Alba,AB,103,46.4517887,22.9755255,Cionesti,Cionesti
Costesti(Albac),Alba,AB,173,46.4867084,22.9122015,Costesti(Albac),Costesti(Albac)
Dealulamasoi,Alba,AB,225,46.4858618,22.9836361,Dealulamasoi,DealuLamasoi
Deve,Alba,AB,30,46.4561834,22.9330406,Deve,Deve
Dupaplese,Alba,AB,129,46.4352101,22.940175,Dupaplese,DupaPlese
Fata,Alba,AB,250,46.4627467,22.9596548,Fata,Fata
Plesesti,Alba,AB,83,46.4469616,22.9399791,Plesesti,Plesesti
Potionci,Alba,AB,65,46.4408318,22.9270479,Potionci,Potionci
Rogoz,Alba,AB,153,46.4282075,22.9613177,Rogoz,Rogoz
Rosesti,Alba,AB,38,46.4782657,22.9311858,Rosesti,Rosesti
Rusesti,Alba,AB,69,46.47984,22.9574529,Rusesti,Rusesti
Sohodol(Albac),Alba,AB,227,46.471209,22.9435977,Sohodol(Albac),Sohodol(Albac)
Tamboresti,Alba,AB,30,46.4480332,22.9251692,Tamboresti,Tamboresti
Almasumare,Alba,AB,394,46.1106669,23.1163988,Almasumare,AlmasuMare
Almasudemijloc,Alba,AB,159,46.0650214,23.1033726,Almasudemijloc,AlmasudeMijloc
Bradet,Alba,AB,83,46.1056201,23.092852,Bradet,Bradet
Cheilecibului,Alba,AB,20,46.0342399,23.1827628,Cheilecibului,CheileCibului
Cib,Alba,AB,277,46.0543933,23.1913833,Cib,Cib
Glod,Alba,AB,215,46.0592227,23.1570476,Glod,Glod
Hanesmina,Alba,AB,,46.1558924,23.5556121,Hanesmina,HanesMina
Nadastia,Alba,AB,141,46.0807391,23.1475707,Nadastia,Nadastia
Arieseni,Alba,AB,137,46.471261,22.741694,Arieseni,Arieseni
Avramesti(Arieseni),Alba,AB,19,46.4794721,22.7432817,Avramesti(Arieseni),Avramesti(Arieseni)
Bubesti,Alba,AB,101,46.4994983,22.7065417,Bubesti,Bubesti
Casadepiatra,Alba,AB,55,46.536498,22.7839625,Casadepiatra,CasadePiatra
Cobles,Alba,AB,201,46.4981084,22.7328724,Cobles,Cobles
Dealubajului,Alba,AB,148,46.4576436,22.7780022,Dealubajului,DealuBajului
Fatacristesei,Alba,AB,178,46.4855826,22.7496184,Fatacristesei,FataCristesei
Fatalapusului,Alba,AB,124,46.4666561,22.7682126,Fatalapusului,FataLapusului
Galbena,Alba,AB,189,46.4711678,22.7300433,Galbena,Galbena
Hodobana,Alba,AB,48,46.5164181,22.7709414,Hodobana,Hodobana
Izlaz,Alba,AB,123,46.4811307,22.7277931,Izlaz,Izlaz
Pantesti,Alba,AB,100,46.4758141,22.7773594,Pantesti,Pantesti
Patrahaitesti,Alba,AB,56,46.4463509,22.7458513,Patrahaitesti,Patrahaitesti
Poienita(Arieseni),Alba,AB,23,46.5160523,22.7242805,Poienita(Arieseni),Poienita(Arieseni)
Ravicesti,Alba,AB,21,46.4847244,22.7771295,Ravicesti,Ravicesti
Sturu,Alba,AB,52,46.4692189,22.8012533,Sturu,Sturu
Steiarieseni,Alba,AB,96,46.4688338,22.7502658,Steiarieseni,SteiArieseni
Vanvucesti,Alba,AB,30,46.4785866,22.7218017,Vanvucesti,Vanvucesti
Avramiancu,Alba,AB,104,46.3746225,22.7684396,Avramiancu,AvramIancu
Achimetesti,Alba,AB,27,46.385902,22.8020014,Achimetesti,Achimetesti
Avramesti(Avramiancu),Alba,AB,19,46.3914,22.8238,Avramesti(Avramiancu),Avramesti(AvramIancu)
Badai,Alba,AB,18,46.4076034,22.7542643,Badai,Badai
Boldesti,Alba,AB,9,46.3427,22.8379,Boldesti,Boldesti
Calugaresti,Alba,AB,82,46.4037656,22.7876464,Calugaresti,Calugaresti
Casoaia,Alba,AB,34,46.3983073,22.7488654,Casoaia,Casoaia
Candesti,Alba,AB,,46.4156,22.7673,Candesti,Candesti
Carasti,Alba,AB,25,46.37094,22.8236014,Carasti,Carasti
Cartulesti,Alba,AB,46,46.3863822,22.7711027,Cartulesti,Cartulesti
Cocesti,Alba,AB,81,46.3593982,22.7890872,Cocesti,Cocesti
Cocosesti,Alba,AB,3,46.3742,22.812,Cocosesti,Cocosesti
Coroiesti,Alba,AB,45,46.3563,22.8173,Coroiesti,Coroiesti
Dealucrisului,Alba,AB,5,46.3357798,22.8413966,Dealucrisului,DealuCrisului
Dolesti,Alba,AB,96,46.369,22.8395,Dolesti,Dolesti
Dumacesti,Alba,AB,42,46.3963317,22.7929548,Dumacesti,Dumacesti
Gojeiesti,Alba,AB,30,46.3800435,22.8283828,Gojeiesti,Gojeiesti
Heleresti,Alba,AB,66,46.3680246,22.8389691,Heleresti,Heleresti
Incesti(Avramiancu),Alba,AB,71,46.3596388,22.8608052,Incesti(Avramiancu),Incesti(AvramIancu)
Jojei,Alba,AB,38,46.3409501,22.8310724,Jojei,Jojei
Martesti,Alba,AB,46,46.3587,22.8637,Martesti,Martesti
Orgesti,Alba,AB,49,46.3819071,22.7909331,Orgesti,Orgesti
Patrutesti,Alba,AB,47,46.375983,22.8326697,Patrutesti,Patrutesti
Plai(Avramiancu),Alba,AB,109,46.40149,22.769114,Plai(Avramiancu),Plai(AvramIancu)
Puselesti,Alba,AB,5,46.3784741,22.8328424,Puselesti,Puselesti
Soicesti,Alba,AB,38,46.3576382,22.8282861,Soicesti,Soicesti
Stertesti,Alba,AB,7,46.3538223,22.8419257,Stertesti,Stertesti
Tarsa,Alba,AB,353,46.3784171,22.8000358,Tarsa,Tarsa
Tarsaplai,Alba,AB,20,46.3925394,22.7854291,Tarsaplai,TarsaPlai
Valeamaciului,Alba,AB,8,46.3377528,22.8312658,Valeamaciului,ValeaMaciului
Valeautului,Alba,AB,37,46.3537313,22.8288456,Valeautului,ValeaUtului
Verdesti,Alba,AB,59,46.3823,22.7914,Verdesti,Verdesti
Vidrisoara,Alba,AB,82,46.341699,22.8365181,Vidrisoara,Vidrisoara
Berghin,Alba,AB,732,46.0721085,23.7367482,Berghin,Berghin
Ghirbom,Alba,AB,505,46.0326133,23.7214336,Ghirbom,Ghirbom
Henig,Alba,AB,310,46.1039256,23.7297355,Henig,Henig
Straja,Alba,AB,346,46.0666041,23.681386,Straja,Straja
Bistra,Alba,AB,1988,46.3787007,23.1021078,Bistra,Bistra
Aronesti,Alba,AB,9,46.4360857,23.1269181,Aronesti,Aronesti
Balesti,Alba,AB,23,46.4284839,23.0942313,Balesti,Balesti
Balesticatun,Alba,AB,69,46.4363124,23.0931581,Balesticatun,BalestiCatun
Barlesti(Bistra),Alba,AB,22,46.357121,23.1306361,Barlesti(Bistra),Barlesti(Bistra)
Cheleteni,Alba,AB,13,46.4487917,23.0970249,Cheleteni,Cheleteni
Ciuldesti,Alba,AB,256,46.3908153,23.1076133,Ciuldesti,Ciuldesti
Cretesti,Alba,AB,188,46.3613072,23.1095213,Cretesti,Cretesti
Dambureni,Alba,AB,48,46.4137935,23.0710328,Dambureni,Dambureni
Dealumuntelui,Alba,AB,77,46.3794671,23.1163239,Dealumuntelui,DealuMuntelui
Durasti,Alba,AB,42,46.4391958,23.1019252,Durasti,Durasti
Ganesti,Alba,AB,72,46.3862716,23.1289247,Ganesti,Ganesti
Garde,Alba,AB,360,46.3859532,23.1393145,Garde,Garde
Hodisesti,Alba,AB,296,46.4009371,23.1031786,Hodisesti,Hodisesti
Hudricesti,Alba,AB,98,46.3946565,23.0895796,Hudricesti,Hudricesti
Lipaia,Alba,AB,135,46.3832251,23.0778871,Lipaia,Lipaia
Luncalarga(Bistra),Alba,AB,48,46.3788008,23.1283499,Luncalarga(Bistra),LuncaLarga(Bistra)
Luncamerilor,Alba,AB,142,46.3694392,23.0980714,Luncamerilor,LuncaMerilor
Mihaiesti,Alba,AB,47,46.3517117,23.1100358,Mihaiesti,Mihaiesti
Namas,Alba,AB,52,46.397305,23.130607,Namas,Namas
Novacesti,Alba,AB,22,46.4175927,23.1319599,Novacesti,Novacesti
Perjesti,Alba,AB,8,46.3483,23.146,Perjesti,Perjesti
Poiana(Bistra),Alba,AB,16,46.4549626,23.127533,Poiana(Bistra),Poiana(Bistra)
Poiu,Alba,AB,16,46.4023786,23.1572548,Poiu,Poiu
Ratitis,Alba,AB,77,46.4156722,23.0949253,Ratitis,Ratitis
Runcuri,Alba,AB,13,46.4135733,23.1530164,Runcuri,Runcuri
Salagesti,Alba,AB,18,46.4028042,23.0810337,Salagesti,Salagesti
Stefanca,Alba,AB,28,46.3681424,23.1308607,Stefanca,Stefanca
Tolacesti,Alba,AB,16,46.3526,23.1449,Tolacesti,Tolacesti
Tomnatec,Alba,AB,10,46.4232333,23.0727861,Tomnatec,Tomnatec
Trisoresti,Alba,AB,87,46.4129535,23.1284765,Trisoresti,Trisoresti
Taranesti,Alba,AB,55,46.4026,23.1202,Taranesti,Taranesti
Varsirontu,Alba,AB,7,46.3466,23.1584,Varsirontu,VarsiRontu
Varsiimari,Alba,AB,10,46.343974,23.1314957,Varsiimari,VarsiiMari
Varsiimici,Alba,AB,49,46.3474665,23.1151199,Varsiimici,VarsiiMici
Blandiana,Alba,AB,543,45.9863147,23.3619049,Blandiana,Blandiana
Acmariu,Alba,AB,347,45.9644578,23.3613115,Acmariu,Acmariu
Ibru,Alba,AB,,46.0191117,23.3570024,Ibru,Ibru
Poieni(Blandiana),Alba,AB,103,46.0208586,23.3445332,Poieni(Blandiana),Poieni(Blandiana)
Racatau,Alba,AB,27,46.0314147,23.3247294,Racatau,Racatau
Bucium,Alba,AB,99,46.2628144,23.1742482,Bucium,Bucium
Anghelesti,Alba,AB,40,46.2440858,23.0964044,Anghelesti,Anghelesti
Bisericani,Alba,AB,22,46.2890189,23.158012,Bisericani,Bisericani
Buciumsat,Alba,AB,177,46.2615626,23.1209891,Buciumsat,BuciumSat
Cerbu,Alba,AB,107,46.244829,23.1047603,Cerbu,Cerbu
Ciuculesti,Alba,AB,70,46.2616048,23.184332,Ciuculesti,Ciuculesti
Coleseni,Alba,AB,59,46.254847,23.127322,Coleseni,Coleseni
Dogaresti,Alba,AB,18,46.2708021,23.1250231,Dogaresti,Dogaresti
Feresti,Alba,AB,31,46.240559,23.1011138,Feresti,Feresti
Floresti(Bucium),Alba,AB,36,46.2923626,23.1497514,Floresti(Bucium),Floresti(Bucium)
Guraizbitei,Alba,AB,17,46.2475066,23.1572692,Guraizbitei,GuraIzbitei
Helesti,Alba,AB,26,46.2847066,23.1427154,Helesti,Helesti
Izbicioara,Alba,AB,10,46.2411687,23.1706831,Izbicioara,Izbicioara
Izbita,Alba,AB,51,46.2435463,23.1403548,Izbita,Izbita
Jurcuiesti,Alba,AB,6,46.2940699,23.1831428,Jurcuiesti,Jurcuiesti
Lupulesti,Alba,AB,36,46.2529394,23.1923736,Lupulesti,Lupulesti
Magura(Bucium),Alba,AB,20,46.2467214,23.135827,Magura(Bucium),Magura(Bucium)
Muntari,Alba,AB,3,46.301267,23.1583425,Muntari,Muntari
Petreni,Alba,AB,,46.2945479,23.1661336,Petreni,Petreni
Poiana(Bucium),Alba,AB,16,46.2989994,23.1704314,Poiana(Bucium),Poiana(Bucium)
Poieni(Bucium),Alba,AB,103,46.2526027,23.1983706,Poieni(Bucium),Poieni(Bucium)
Stalnisoara,Alba,AB,19,46.2391435,23.203744,Stalnisoara,Stalnisoara
Valeaabruzel,Alba,AB,88,46.2671553,23.1465469,Valeaabruzel,ValeaAbruzel
Valeaalba,Alba,AB,74,46.2608308,23.2233315,Valeaalba,ValeaAlba
Valeacerbului,Alba,AB,59,46.2395608,23.1176349,Valeacerbului,ValeaCerbului
Valeanegrilesii,Alba,AB,64,46.2437876,23.2159502,Valeanegrilesii,ValeaNegrilesii
Valeapoienii(Bucium),Alba,AB,99,46.2265335,23.1417325,Valeapoienii(Bucium),ValeaPoienii(Bucium)
Valeasesii(Bucium),Alba,AB,99,46.2745358,23.1784916,Valeasesii(Bucium),ValeaSesii(Bucium)
Valeni(Bucium),Alba,AB,279,46.279059,23.1514186,Valeni(Bucium),Valeni(Bucium)
Valcea,Alba,AB,30,46.2656093,23.1611731,Valcea,Valcea
Calnic,Alba,AB,1326,45.886111,23.653056,Calnic,Calnic
Cut,Alba,AB,1075,45.9424939,23.6674907,Cut,Cut
Deal,Alba,AB,355,45.8584727,23.6238345,Deal,Deal
Cenade,Alba,AB,933,46.0469111,24.0047615,Cenade,Cenade
Capudealului,Alba,AB,,46.0000995,24.0018304,Capudealului,CapuDealului
Gorgan,Alba,AB,8,46.0922746,24.0066061,Gorgan,Gorgan
Cergau,Alba,AB,,46.1,23.916667,Cergau,Cergau
Cergaumare,Alba,AB,962,46.096802,23.9222325,Cergaumare,CergauMare
Cergaumic,Alba,AB,300,46.0804661,23.9389568,Cergaumic,CergauMic
Lupu,Alba,AB,228,46.0997355,23.9687853,Lupu,Lupu
Cerubacainti,Alba,AB,60,45.9738112,23.271237,Cerubacainti,CeruBacainti
Bolovanesti,Alba,AB,20,46.0007568,23.2583565,Bolovanesti,Bolovanesti
Bulbuc,Alba,AB,9,46.022882,23.2913589,Bulbuc,Bulbuc
Cucuta,Alba,AB,47,45.9843688,23.2630137,Cucuta,Cucuta
Curpeni,Alba,AB,35,45.9914663,23.2825889,Curpeni,Curpeni
Dumbravita,Alba,AB,37,45.9850222,23.2424239,Dumbravita,Dumbravita
Fantanele,Alba,AB,8,46.0295391,23.2691656,Fantanele,Fantanele
Grosi,Alba,AB,29,46.0051333,23.245287,Grosi,Grosi
Valeamare,Alba,AB,19,46.0206889,23.2577007,Valeamare,ValeaMare
Viezuri,Alba,AB,5,46.0031297,23.294079,Viezuri,Viezuri
Cetateadebalta,Alba,AB,1800,46.2466621,24.1697793,Cetateadebalta,CetateadeBalta
Craciuneludesus,Alba,AB,119,46.1725582,24.1808843,Craciuneludesus,CraciuneludeSus
Santamarie,Alba,AB,271,46.2425975,24.1454649,Santamarie,Santamarie
Tatarlaua,Alba,AB,740,46.2048831,24.1666795,Tatarlaua,Tatarlaua
Ciugud,Alba,AB,542,46.0652646,23.6472061,Ciugud,Ciugud
Drambar,Alba,AB,401,46.0769494,23.631241,Drambar,Drambar
Limba,Alba,AB,359,46.0402809,23.597218,Limba,Limba
Hapria,Alba,AB,581,46.078996,23.6679827,Hapria,Hapria
Seusa,Alba,AB,764,46.0593011,23.6254904,Seusa,Seusa
Teleac,Alba,AB,401,46.0879079,23.6272491,Teleac,Teleac
Ciuruleasa,Alba,AB,535,46.2561907,23.0276218,Ciuruleasa,Ciuruleasa
Bidigesti,Alba,AB,32,46.2599,23.018,Bidigesti,Bidigesti
Bodresti,Alba,AB,26,46.272,22.9736,Bodresti,Bodresti
Boglesti,Alba,AB,84,46.2398599,23.0243306,Boglesti,Boglesti
Buninginea,Alba,AB,126,46.2314273,23.0402837,Buninginea,Buninginea
Ghedulesti,Alba,AB,68,46.2354,23.0702,Ghedulesti,Ghedulesti
Matisesti(Ciuruleasa),Alba,AB,454,46.2284851,23.018509,Matisesti(Ciuruleasa),Matisesti(Ciuruleasa)
Moraresti(Ciuruleasa),Alba,AB,43,46.2561907,23.0276218,Moraresti(Ciuruleasa),Moraresti(Ciuruleasa)
Vulcan,Alba,AB,78,46.2395878,22.9720839,Vulcan,Vulcan
Craciuneludejos,Alba,AB,1954,46.1714563,23.8360858,Craciuneludejos,CraciuneludeJos
Bucerdeagranoasa,Alba,AB,2212,46.2003849,23.8597297,Bucerdeagranoasa,BucerdeaGranoasa
Cornu,Alba,AB,8,46.2209419,23.8138899,Cornu,Cornu
Padure,Alba,AB,11,46.1955115,23.8803442,Padure,Padure
Panca,Alba,AB,4,46.2286003,23.8866837,Panca,Panca
Cricau,Alba,AB,1198,46.1742809,23.5697217,Cricau,Cricau
Craiva,Alba,AB,332,46.1689913,23.550532,Craiva,Craiva
Tibru,Alba,AB,382,46.1965946,23.5629614,Tibru,Tibru
Daiaromana,Alba,AB,2773,46.006639,23.6675773,Daiaromana,DaiaRomana
Dostat,Alba,AB,483,45.9519939,23.7960039,Dostat,Dostat
Boz,Alba,AB,462,45.9473912,23.8026148,Boz,Boz
Dealudostatului,Alba,AB,11,45.9649984,23.8497284,Dealudostatului,DealuDostatului
Farau,Alba,AB,509,46.3386555,24.0021866,Farau,Farau
Heria,Alba,AB,269,46.3643772,23.9778879,Heria,Heria
Medves,Alba,AB,199,46.3063227,24.0618571,Medves,Medves
Sanbenedic,Alba,AB,267,46.3149463,24.0459518,Sanbenedic,Sanbenedic
Silea,Alba,AB,325,46.3251239,24.1141302,Silea,Silea
Galdadejos,Alba,AB,2006,46.2238661,23.5682942,Galdadejos,GaldadeJos
Benic,Alba,AB,480,46.2124985,23.5914445,Benic,Benic
Cetea,Alba,AB,422,46.2412125,23.5844214,Cetea,Cetea
Galdadesus,Alba,AB,388,46.2231636,23.5628163,Galdadesus,GaldadeSus
Lupseni,Alba,AB,23,46.2198153,23.5448186,Lupseni,Lupseni
Magura(Galdadejos),Alba,AB,20,46.2347035,23.5402975,Magura(Galdadejos),Magura(GaldadeJos)
Mesentea,Alba,AB,211,46.1915841,23.6033168,Mesentea,Mesentea
Oiejdea,Alba,AB,806,46.1579061,23.6331692,Oiejdea,Oiejdea
Poianagaldei,Alba,AB,135,46.2433979,23.527937,Poianagaldei,PoianaGaldei
Raicani,Alba,AB,21,46.2661093,23.4976227,Raicani,Raicani
Zagris,Alba,AB,4,46.2269963,23.5386826,Zagris,Zagris
Garbova,Alba,AB,1496,45.8593251,23.7201921,Garbova,Garbova
Carpinis(Garbova),Alba,AB,390,45.8292385,23.6599788,Carpinis(Garbova),Carpinis(Garbova)
Reciu,Alba,AB,294,45.8650605,23.674016,Reciu,Reciu
Gardadesus,Alba,AB,391,46.5060562,22.817305,Gardadesus,GardadeSus
Biharia,Alba,AB,87,46.4247924,22.7672603,Biharia,Biharia
Dealufrumos(Gardadesus),Alba,AB,391,46.4897525,22.8315944,Dealufrumos(Gardadesus),DealuFrumos(GardadeSus)
Dealuordancusii,Alba,AB,,46.5121,22.8399,Dealuordancusii,DealuOrdancusii
Dobresti,Alba,AB,58,46.468279,22.8192915,Dobresti,Dobresti
Gardaseaca,Alba,AB,149,46.4837781,22.7937139,Gardaseaca,GardaSeaca
Ghetari,Alba,AB,118,46.4918026,22.818826,Ghetari,Ghetari
Hanasesti(Gardadesus),Alba,AB,84,46.482587,22.82652,Hanasesti(Gardadesus),Hanasesti(GardadeSus)
Huzaresti,Alba,AB,77,46.4397577,22.8420785,Huzaresti,Huzaresti
Izvoarele(Gardadesus),Alba,AB,137,46.4574232,22.8468415,Izvoarele(Gardadesus),Izvoarele(GardadeSus)
Mununa,Alba,AB,80,46.4740629,22.8309281,Mununa,Mununa
Ocoale,Alba,AB,264,46.5117007,22.8085268,Ocoale,Ocoale
Plai(Gardadesus),Alba,AB,109,46.4446205,22.7993664,Plai(Gardadesus),Plai(GardadeSus)
Plisti,Alba,AB,13,46.4844272,22.8094725,Plisti,Plisti
Scoarta,Alba,AB,25,46.4359432,22.7819373,Scoarta,Scoarta
Snide,Alba,AB,69,46.4491803,22.7896966,Snide,Snide
Sucesti,Alba,AB,53,46.4360513,22.7964948,Sucesti,Sucesti
Hoparta,Alba,AB,264,46.3306318,23.9125026,Hoparta,Hoparta
Silivas,Alba,AB,329,46.339695,23.8744085,Silivas,Silivas
Spalnaca,Alba,AB,167,46.3392053,23.9024396,Spalnaca,Spalnaca
Turdas,Alba,AB,213,46.3071724,23.9181755,Turdas,Turdas
Vamaseaca,Alba,AB,179,46.3505787,23.935623,Vamaseaca,VamaSeaca
Horea,Alba,AB,350,46.5004707,22.949039,Horea,Horea
Baba,Alba,AB,44,46.5012781,22.9661975,Baba,Baba
Butesti(Horea),Alba,AB,17,46.5104273,22.9439161,Butesti(Horea),Butesti(Horea)
Darlesti,Alba,AB,333,46.5196071,22.9274713,Darlesti,Darlesti
Fericet,Alba,AB,146,46.4868374,22.9340922,Fericet,Fericet
Giurgiut,Alba,AB,85,46.5172258,22.9477424,Giurgiut,Giurgiut
Mancesti,Alba,AB,67,46.4883423,22.947957,Mancesti,Mancesti
Matisesti(Horea),Alba,AB,454,46.5069962,22.9061388,Matisesti(Horea),Matisesti(Horea)
Niculesti,Alba,AB,51,46.502281,22.9539657,Niculesti,Niculesti
Patrusesti,Alba,AB,177,46.5198979,22.980067,Patrusesti,Patrusesti
Petreasa,Alba,AB,52,46.5361053,22.9424224,Petreasa,Petreasa
Preluca,Alba,AB,72,46.5080821,22.9714883,Preluca,Preluca
Teiu,Alba,AB,77,46.5070691,22.9822623,Teiu,Teiu
Trifesti(Horea),Alba,AB,6,46.5269371,22.9302897,Trifesti(Horea),Trifesti(Horea)
Zanzesti,Alba,AB,62,46.5322484,22.9546667,Zanzesti,Zanzesti
Ighiu,Alba,AB,1266,46.1438947,23.5121564,Ighiu,Ighiu
Bucerdeavinoasa,Alba,AB,,46.162994,23.5258832,Bucerdeavinoasa,BucerdeaVinoasa
Ighiel,Alba,AB,930,46.1453197,23.4794571,Ighiel,Ighiel
Sard,Alba,AB,2208,46.12337,23.5311306,Sard,Sard
Telna,Alba,AB,1006,46.1601765,23.4981991,Telna,Telna
Intregalde,Alba,AB,59,46.24447,23.4122645,Intregalde,Intregalde
Dealugeoagiului,Alba,AB,56,46.2795868,23.4194013,Dealugeoagiului,DealuGeoagiului
Ghioncani,Alba,AB,61,46.2411821,23.3221343,Ghioncani,Ghioncani
Iliesti,Alba,AB,14,46.2753077,23.3865532,Iliesti,Iliesti
Ivanis,Alba,AB,61,46.2268997,23.3810379,Ivanis,Ivanis
Marinesti,Alba,AB,9,46.268927,23.3926799,Marinesti,Marinesti
Modolesti(Intregalde),Alba,AB,21,46.2579507,23.4244385,Modolesti(Intregalde),Modolesti(Intregalde)
Necrilesti,Alba,AB,137,46.2104059,23.3653143,Necrilesti,Necrilesti
Popesti,Alba,AB,11,46.2570456,23.3935545,Popesti,Popesti
Sfarcea,Alba,AB,44,46.2133424,23.3121575,Sfarcea,Sfarcea
Tecsesti,Alba,AB,37,46.2728548,23.4767432,Tecsesti,Tecsesti
Jidvei,Alba,AB,1113,46.2226645,24.1098947,Jidvei,Jidvei
Balcaciu,Alba,AB,1062,46.1879628,24.0582285,Balcaciu,Balcaciu
Capalnadejos,Alba,AB,714,46.239323,24.1090933,Capalnadejos,CapalnadeJos
Feisa,Alba,AB,740,46.2249045,24.1423743,Feisa,Feisa
Veseus,Alba,AB,988,46.2731316,24.1394033,Veseus,Veseus
Livezile,Alba,AB,634,46.3885898,23.5561337,Livezile,Livezile
Izvoarele(Livezile),Alba,AB,137,46.4010573,23.5367309,Izvoarele(Livezile),Izvoarele(Livezile)
Poianaaiudului,Alba,AB,298,46.3643505,23.6033375,Poianaaiudului,PoianaAiudului
Valisoara,Alba,AB,123,46.388229,23.5607031,Valisoara,Valisoara
Lopadeanoua,Alba,AB,1006,46.2920158,23.8175113,Lopadeanoua,LopadeaNoua
Asinip,Alba,AB,121,46.2966738,23.888261,Asinip,Asinip
Bagau,Alba,AB,539,46.3105619,23.793748,Bagau,Bagau
Beta,Alba,AB,398,46.2523073,23.8137383,Beta,Beta
