nume,judet,abreviere,populatie,lat,lng,,
Pipera(voluntari),Ilfov,IF,42944,44.4977877,26.1249325,Pipera(Voluntari),Pipera(Voluntari)
Bolintinvale,Giurgiu,GR,8334,44.4474639,25.7646681,Bolintinvale,BolintinVale
Crivina,Giurgiu,GR,872,44.4306651,25.7833209,Crivina,Crivina
Maluspart,Giurgiu,GR,3200,44.4433426,25.7103399,Maluspart,MaluSpart
Suseni,Giurgiu,GR,523,44.4504964,25.6959372,Suseni,Suseni
Mihailesti,Giurgiu,GR,4947,44.3213976,25.9099083,Mihailesti,Mihailesti
Draganescu,Giurgiu,GR,483,44.3438211,25.8832619,Draganescu,Draganescu
Novaci,Giurgiu,GR,1302,44.3006639,25.9749854,Novaci,Novaci
Popesti,Giurgiu,GR,1191,44.3038668,25.9567871,Popesti,Popesti
Adunatiicopaceni,Giurgiu,GR,3309,44.2579328,26.0495864,Adunatiicopaceni,AdunatiiCopaceni
Darastivlasca,Giurgiu,GR,2177,44.2887554,26.0137759,Darastivlasca,DarastiVlasca
Mogosesti,Giurgiu,GR,519,44.2400359,26.1077065,Mogosesti,Mogosesti
Varlaam,Giurgiu,GR,616,44.2453986,26.0858024,Varlaam,Varlaam
Baneasa,Giurgiu,GR,3231,44.0478047,26.0683623,Baneasa,Baneasa
Frasinu,Giurgiu,GR,521,44.026155,26.0221228,Frasinu,Frasinu
Pietrele,Giurgiu,GR,1180,44.0639746,26.117033,Pietrele,Pietrele
Sfantugheorghe(Baneasa),Giurgiu,GR,3231,44.0164504,26.0319073,Sfantugheorghe(Baneasa),SfantuGheorghe(Baneasa)
Bolintindeal,Giurgiu,GR,3854,44.4487977,25.8202444,Bolintindeal,BolintinDeal
Mihaivoda,Giurgiu,GR,2067,44.4420568,25.8175996,Mihaivoda,MihaiVoda
Bucsani,Giurgiu,GR,1090,44.3762164,25.6728054,Bucsani,Bucsani
Anghelesti,Giurgiu,GR,179,44.3382122,25.642074,Anghelesti,Anghelesti
